interval,load_frac,wind_drop,stale,LZ_HOUSTON,LZ_NORTH,LZ_SOUTH,LZ_WEST
2024-08-20T16:00:00Z,0.93,1,0,491.0,479.0,484.0,203.4
2024-08-20T16:05:00Z,0.71,0,0,45.0,33.0,38.0,25.0
2024-08-20T16:10:00Z,0.71,0,0,45.0,33.0,38.0,25.0
2024-08-20T16:15:00Z,0.71,0,0,45.0,33.0,38.0,25.0
2024-08-20T16:20:00Z,0.71,0,0,45.0,33.0,38.0,25.0
2024-08-20T16:25:00Z,0.71,0,0,45.0,33.0,38.0,25.0
2024-08-20T16:30:00Z,0.71,0,0,45.0,33.0,38.0,25.0
2024-08-20T16:35:00Z,0.71,0,0,45.0,33.0,38.0,25.0
2024-08-20T16:40:00Z,0.71,0,0,45.0,33.0,38.0,25.0
2024-08-20T16:45:00Z,0.71,0,0,45.0,33.0,38.0,25.0
2024-08-20T16:50:00Z,0.71,0,0,45.0,33.0,38.0,25.0
2024-08-20T16:55:00Z,0.71,0,0,45.0,33.0,38.0,25.0
2024-08-20T17:00:00Z,0.75,0,0,47.0,35.0,40.0,27.0
2024-08-20T17:05:00Z,0.75,0,0,47.0,35.0,40.0,27.0
2024-08-20T17:10:00Z,0.75,0,0,47.0,35.0,40.0,27.0
2024-08-20T17:15:00Z,0.75,0,0,47.0,35.0,40.0,27.0
2024-08-20T17:20:00Z,0.75,0,0,47.0,35.0,40.0,27.0
2024-08-20T17:25:00Z,0.75,0,0,47.0,35.0,40.0,27.0
2024-08-20T17:30:00Z,0.75,0,0,47.0,35.0,40.0,27.0
2024-08-20T17:35:00Z,0.75,0,0,47.0,35.0,40.0,27.0
2024-08-20T17:40:00Z,0.75,0,0,47.0,35.0,40.0,27.0
2024-08-20T17:45:00Z,0.75,0,0,47.0,35.0,40.0,27.0
2024-08-20T17:50:00Z,0.75,0,0,47.0,35.0,40.0,27.0
2024-08-20T17:55:00Z,0.75,0,0,47.0,35.0,40.0,27.0
2024-08-20T18:00:00Z,0.79,0,0,49.0,37.0,42.0,29.0
2024-08-20T18:05:00Z,0.79,0,0,49.0,37.0,42.0,29.0
2024-08-20T18:10:00Z,0.79,0,0,49.0,37.0,42.0,29.0
2024-08-20T18:15:00Z,0.79,0,0,49.0,37.0,42.0,29.0
2024-08-20T18:20:00Z,0.79,0,0,49.0,37.0,42.0,29.0
2024-08-20T18:25:00Z,0.79,0,0,49.0,37.0,42.0,29.0
2024-08-20T18:30:00Z,0.79,0,0,49.0,37.0,42.0,29.0
2024-08-20T18:35:00Z,0.79,0,0,49.0,37.0,42.0,29.0
2024-08-20T18:40:00Z,0.79,0,0,49.0,37.0,42.0,29.0
2024-08-20T18:45:00Z,0.79,0,0,49.0,37.0,42.0,29.0
2024-08-20T18:50:00Z,0.79,0,0,49.0,37.0,42.0,29.0
2024-08-20T18:55:00Z,0.79,0,0,49.0,37.0,42.0,29.0
2024-08-20T19:00:00Z,0.83,0,0,51.0,39.0,44.0,31.0
2024-08-20T19:05:00Z,0.83,0,0,51.0,39.0,44.0,31.0
2024-08-20T19:10:00Z,0.83,0,0,51.0,39.0,44.0,31.0
2024-08-20T19:15:00Z,0.83,0,0,51.0,39.0,44.0,31.0
2024-08-20T19:20:00Z,0.83,0,0,51.0,39.0,44.0,31.0
2024-08-20T19:25:00Z,0.83,0,0,51.0,39.0,44.0,31.0
2024-08-20T19:30:00Z,0.83,0,0,51.0,39.0,44.0,31.0
2024-08-20T19:35:00Z,0.83,0,0,51.0,39.0,44.0,31.0
2024-08-20T19:40:00Z,0.83,0,0,51.0,39.0,44.0,31.0
2024-08-20T19:45:00Z,0.83,0,0,51.0,39.0,44.0,31.0
2024-08-20T19:50:00Z,0.83,0,0,51.0,39.0,44.0,31.0
2024-08-20T19:55:00Z,0.83,0,0,51.0,39.0,44.0,31.0
